Fold,Protein name,Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
FLAVODOXIN-LIKE (ALPHA/BELTA),3CHY,34.375,31.25,34.375,8.661417322834646,12.598425196850393,11.023622047244094,1.0,24.75,50.0,90.25,124.0,0.0,48.75,77.5,100.25,126.0,4.0,25.25,59.5,86.25,127.0
FLAVODOXIN-LIKE (ALPHA/BELTA),1NTR,28.225806451612907,37.096774193548384,34.67741935483871,10.569105691056912,6.504065040650407,15.447154471544716,1.0,33.5,66.0,97.0,123.0,3.0,36.25,67.5,92.75,121.0,0.0,24.5,56.0,79.5,118.0
FLAVODOXIN-LIKE (ALPHA/BELTA),1SCUA2,24.69879518072289,47.59036144578313,27.710843373493976,12.727272727272727,6.0606060606060606,13.939393939393941,8.0,48.0,85.0,132.0,165.0,1.0,39.0,88.0,123.5,162.0,0.0,40.0,75.5,119.0,164.0
FLAVODOXIN-LIKE (ALPHA/BELTA),1SCUB2,32.142857142857146,41.66666666666667,26.190476190476193,13.253012048192772,10.843373493975903,6.024096385542169,8.0,30.0,47.0,65.0,82.0,1.0,14.5,32.0,59.5,81.0,0.0,24.5,45.0,60.75,83.0
FLAVODOXIN-LIKE (ALPHA/BELTA),2FCR,32.947976878612714,37.57225433526011,29.47976878612717,13.372093023255813,10.465116279069768,11.046511627906977,0.0,46.0,95.0,131.0,169.0,2.0,37.0,73.0,121.0,171.0,1.0,47.5,88.0,141.5,172.0
FLAVODOXIN-LIKE (ALPHA/BELTA),2FX2,31.292517006802722,40.136054421768705,28.57142857142857,14.383561643835616,8.21917808219178,12.32876712328767,1.0,41.5,80.0,115.0,143.0,0.0,26.0,59.0,99.5,145.0,3.0,50.25,72.5,109.0,146.0
FLAVODOXIN-LIKE (ALPHA/BELTA),4FXN   (2FOX),36.231884057971016,28.26086956521739,35.507246376811594,8.02919708029197,15.328467153284672,7.2992700729927,1.0,38.5,70.5,109.0,136.0,4.0,25.5,73.0,91.0,135.0,0.0,37.0,65.0,102.0,137.0
FLAVODOXIN-LIKE (ALPHA/BELTA),1BMTA2,32.278481012658226,36.708860759493675,31.0126582278481,10.828025477707007,10.191082802547772,10.191082802547772,2.0,35.5,78.0,122.5,155.0,0.0,49.5,95.5,117.5,157.0,11.0,39.0,68.0,106.0,154.0
FLAVODOXIN-LIKE (ALPHA/BELTA),1CUS,26.0,48.0,26.0,12.060301507537687,7.035175879396985,9.045226130653267,2.0,50.75,101.0,143.75,196.0,1.0,48.5,99.5,148.25,199.0,0.0,51.75,99.5,155.25,195.0
FLAVODOXIN-LIKE (ALPHA/BELTA),2NADA2,26.842105263157894,41.578947368421055,31.57894736842105,10.582010582010582,8.994708994708994,14.285714285714285,0.0,62.5,97.0,139.0,181.0,1.0,49.5,99.0,155.5,189.0,2.0,36.75,85.0,126.25,187.0
FLAVODOXIN-LIKE (ALPHA/BELTA),1GDHA1,33.59375,36.71875,29.6875,11.811023622047244,11.023622047244094,11.023622047244094,0.0,33.0,58.0,89.5,124.0,6.0,28.5,74.0,100.5,127.0,3.0,34.75,59.5,84.25,125.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),2OHXA2,25.179856115107913,40.28776978417266,34.53237410071942,9.420289855072465,9.420289855072465,15.217391304347828,6.0,48.5,68.0,93.0,136.0,0.0,24.5,61.5,106.25,138.0,5.0,31.5,76.5,104.5,135.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),1QORA2,30.136986301369863,39.04109589041096,30.82191780821918,11.03448275862069,8.275862068965518,14.482758620689657,0.0,49.75,75.5,100.75,143.0,1.0,33.0,61.0,117.0,145.0,2.0,34.0,74.0,110.0,142.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),1HDCA,25.296442687747035,46.24505928853755,28.458498023715418,9.920634920634921,8.73015873015873,12.698412698412698,0.0,54.5,100.5,174.5,252.0,3.0,70.0,143.0,198.0,251.0,2.0,74.25,118.5,175.75,250.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),1DHR,25.311203319502074,43.983402489626556,30.70539419087137,11.25,7.083333333333333,12.916666666666668,5.0,54.0,99.0,186.0,234.0,1.0,69.0,132.5,177.25,239.0,0.0,57.75,111.0,178.5,240.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),1UDPA  (2UDPA),29.585798816568047,40.828402366863905,29.585798816568047,12.759643916913946,8.30860534124629,13.056379821958458,1.0,93.25,176.5,267.0,337.0,5.0,95.25,177.5,255.5,336.0,0.0,66.25,154.5,239.25,327.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),1HDGO1,34.73053892215569,32.33532934131736,32.93413173652694,11.44578313253012,12.650602409638553,9.63855421686747,1.0,39.75,79.5,121.0,165.0,0.0,43.0,81.5,121.75,159.0,2.0,41.5,87.0,129.5,166.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),2NADA1,28.804347826086957,42.391304347826086,28.804347826086957,12.021857923497267,8.743169398907105,10.92896174863388,1.0,47.0,88.0,134.0,178.0,0.0,41.0,91.5,138.5,183.0,2.0,52.0,93.0,138.0,182.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),1GDHA2,28.26086956521739,42.391304347826086,29.347826086956523,15.300546448087433,7.103825136612022,13.114754098360656,5.0,44.75,86.0,138.5,179.0,0.0,51.25,89.5,130.75,180.0,1.0,40.0,98.5,141.75,183.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),2CMD1,24.65753424657534,41.0958904109589,34.24657534246575,8.96551724137931,8.96551724137931,15.862068965517242,1.0,58.75,87.0,112.0,141.0,3.0,31.5,60.5,105.5,144.0,0.0,34.75,73.5,111.0,145.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),1BMDA1,31.372549019607842,36.60130718954248,32.02614379084967,11.842105263157894,10.526315789473683,10.526315789473683,0.0,48.25,90.5,116.75,149.0,1.0,28.0,77.0,115.75,152.0,3.0,36.0,62.0,106.0,150.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),1LLDA1,27.27272727272727,40.55944055944056,32.16783216783217,7.746478873239436,11.267605633802818,10.56338028169014,2.0,38.0,68.0,100.5,137.0,0.0,23.5,66.0,108.75,142.0,3.0,39.0,73.5,106.5,139.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),2PGD1,31.11111111111111,35.0,33.88888888888889,11.1731843575419,9.497206703910614,10.05586592178771,1.0,45.5,84.5,116.25,175.0,0.0,52.5,118.0,145.0,179.0,4.0,34.0,79.0,120.0,172.0
NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),1SCUA1,21.311475409836063,45.08196721311475,33.60655737704918,9.917355371900827,5.785123966942149,17.355371900826448,4.0,24.25,67.0,100.5,121.0,0.0,30.5,54.0,76.5,120.0,1.0,34.0,71.0,94.0,118.0
P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),1GKY,34.40860215053764,38.17204301075269,27.419354838709676,12.432432432432433,10.81081081081081,8.108108108108109,1.0,61.0,109.0,146.25,185.0,0.0,33.5,79.0,134.0,183.0,3.0,53.0,95.0,125.5,182.0
P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),1UKZ,37.4384236453202,31.03448275862069,31.527093596059114,12.871287128712872,11.386138613861387,8.91089108910891,6.0,69.75,115.5,157.5,200.0,0.0,25.5,61.0,142.0,201.0,9.0,63.75,109.0,151.75,202.0
P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),2AK3B,33.1858407079646,37.16814159292036,29.646017699115045,13.333333333333334,11.11111111111111,9.333333333333334,4.0,69.0,121.0,169.5,220.0,0.0,36.75,111.5,176.5,225.0,5.0,57.5,106.0,153.5,223.0
P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),5P21,36.74698795180723,33.734939759036145,29.518072289156628,15.757575757575756,7.2727272727272725,10.909090909090908,2.0,48.0,91.0,125.0,164.0,1.0,37.0,79.0,133.5,165.0,0.0,35.0,78.0,112.0,162.0
P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),1TADC2,34.45378151260504,34.45378151260504,31.092436974789916,11.864406779661017,10.16949152542373,11.864406779661017,2.0,39.0,63.0,87.0,118.0,0.0,33.0,58.0,91.0,115.0,1.0,20.0,52.0,78.0,117.0
P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),1EFT1,32.863849765258216,37.08920187793427,30.046948356807512,12.735849056603774,10.377358490566039,9.90566037735849,1.0,55.25,120.0,165.75,207.0,0.0,37.5,83.0,127.0,212.0,4.0,76.0,128.5,158.25,209.0
P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),1EFG1,34.04255319148936,33.687943262411345,32.269503546099294,11.032028469750891,11.743772241992882,10.676156583629894,3.0,76.5,142.0,210.75,277.0,1.0,62.0,130.0,202.5,281.0,0.0,79.0,147.0,217.0,279.0
P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),1DTS,23.076923076923077,46.60633484162896,30.316742081447963,12.727272727272727,5.0,15.0,2.0,51.5,94.0,150.5,216.0,1.0,44.5,99.0,167.0,218.0,0.0,84.5,133.0,168.0,220.0
P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),1NIPA,33.21799307958477,33.56401384083045,33.21799307958477,10.069444444444445,11.11111111111111,9.722222222222223,2.0,81.25,167.0,230.5,287.0,0.0,60.0,114.0,185.0,285.0,1.0,80.25,148.5,217.25,288.0
P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),2REB1,30.909090909090907,37.27272727272727,31.818181818181817,11.87214611872146,11.415525114155251,12.32876712328767,1.0,68.5,126.0,176.25,219.0,3.0,44.5,96.5,151.5,217.0,0.0,55.5,113.5,163.0,218.0
THIOREDOXIN-LIKE (ALPHA/BELTA),2TRXA,31.48148148148148,35.18518518518518,33.33333333333333,11.214953271028037,13.084112149532709,9.345794392523365,1.0,26.0,53.5,81.75,105.0,0.0,32.25,63.5,81.25,107.0,3.0,25.5,42.5,78.25,106.0
THIOREDOXIN-LIKE (ALPHA/BELTA),1MDKA,35.23809523809524,32.38095238095238,32.38095238095238,10.576923076923077,13.461538461538462,6.730769230769231,2.0,25.0,60.0,83.0,102.0,6.0,28.25,46.5,73.75,99.0,0.0,24.5,47.5,74.5,104.0
THIOREDOXIN-LIKE (ALPHA/BELTA),1DSBA2,34.39153439153439,34.39153439153439,31.216931216931215,14.361702127659576,9.574468085106384,13.297872340425531,1.0,48.0,102.0,145.0,188.0,0.0,42.0,90.0,140.0,185.0,11.0,47.0,89.0,133.5,184.0
THIOREDOXIN-LIKE (ALPHA/BELTA),1EGO,40.0,31.76470588235294,28.235294117647058,14.285714285714285,9.523809523809524,10.714285714285714,1.0,26.25,42.0,59.0,83.0,2.0,18.0,43.0,68.0,84.0,0.0,13.75,39.5,62.25,82.0
THIOREDOXIN-LIKE (ALPHA/BELTA),1ABA,35.63218390804598,31.03448275862069,33.33333333333333,8.13953488372093,13.953488372093023,10.465116279069768,2.0,23.5,43.0,58.0,86.0,4.0,17.0,52.0,69.5,84.0,0.0,23.0,41.0,62.0,85.0
THIOREDOXIN-LIKE (ALPHA/BELTA),1GP1A,29.949238578680205,37.56345177664975,32.48730964467005,9.693877551020408,10.204081632653061,11.73469387755102,9.0,58.5,100.0,151.5,192.0,0.0,28.25,93.5,140.5,196.0,3.0,59.0,104.5,149.25,190.0
THIOREDOXIN-LIKE (ALPHA/BELTA),2GSTA1,32.142857142857146,39.285714285714285,28.57142857142857,12.612612612612612,9.90990990990991,11.711711711711711,7.0,33.75,52.0,80.25,111.0,0.0,25.75,59.5,88.25,109.0,1.0,17.75,54.0,79.5,108.0
THIOREDOXIN-LIKE (ALPHA/BELTA),1GSRA1 (2GSRA1),31.958762886597935,36.08247422680412,31.958762886597935,15.625,7.291666666666667,17.708333333333336,9.0,25.5,50.0,73.0,96.0,0.0,22.5,54.0,74.0,95.0,3.0,22.5,44.0,66.5,91.0
THIOREDOXIN-LIKE (ALPHA/BELTA),1GSQ1,28.723404255319153,37.234042553191486,34.04255319148936,9.67741935483871,12.903225806451612,12.903225806451612,1.0,29.5,53.0,74.0,92.0,0.0,21.5,45.0,67.0,89.0,4.0,19.75,46.5,66.0,93.0
RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),3HSC,34.715025906735754,36.787564766839374,28.497409326424872,12.987012987012985,9.87012987012987,10.909090909090908,2.0,103.5,215.0,299.5,385.0,1.0,91.75,178.5,279.75,384.0,0.0,92.25,194.5,289.0,379.0
RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),1ATNA1,30.136986301369863,40.41095890410959,29.45205479452055,13.793103448275861,5.517241379310345,14.482758620689657,0.0,37.5,69.0,100.75,136.0,4.0,33.5,69.0,107.5,145.0,7.0,42.5,78.0,119.5,141.0
RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),1ATNA2,28.761061946902654,40.707964601769916,30.53097345132743,7.111111111111111,10.666666666666668,11.11111111111111,0.0,63.0,107.0,165.0,225.0,1.0,51.75,117.5,172.5,224.0,4.0,54.0,114.0,170.0,223.0
RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),1GLCG1,32.800000000000004,36.0,31.2,13.654618473895583,9.63855421686747,10.441767068273093,0.0,68.25,119.5,187.75,249.0,1.0,56.5,124.5,184.5,248.0,2.0,61.25,127.5,186.75,247.0
RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),1GLCG2,30.48780487804878,39.43089430894309,30.081300813008134,14.285714285714285,6.938775510204081,14.69387755102041,3.0,70.5,142.0,204.5,244.0,5.0,56.0,109.0,174.0,245.0,0.0,55.25,119.5,175.0,242.0
RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),1CHMA1,36.12903225806451,37.41935483870968,26.451612903225808,12.337662337662337,11.03896103896104,10.38961038961039,0.0,29.5,85.5,119.0,154.0,2.0,40.25,67.0,107.75,149.0,1.0,49.0,76.0,119.0,153.0
RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),2RN2,35.483870967741936,36.774193548387096,27.741935483870968,12.987012987012985,11.03896103896104,9.090909090909092,2.0,46.0,87.0,117.0,153.0,8.0,33.0,68.0,122.0,150.0,0.0,47.0,73.0,108.0,154.0
RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),1HRHA,36.76470588235294,33.82352941176471,29.411764705882355,12.592592592592592,9.62962962962963,11.11111111111111,1.0,34.5,66.0,96.75,131.0,0.0,28.25,57.0,87.5,128.0,2.0,49.5,78.5,108.25,135.0
RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),1DPI1,33.67875647668394,34.715025906735754,31.606217616580313,14.583333333333334,8.854166666666668,16.145833333333336,4.0,64.0,98.0,150.0,191.0,2.0,49.0,94.0,141.0,190.0,0.0,45.0,93.0,141.0,192.0
RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),1HJRA,28.48101265822785,39.24050632911392,32.278481012658226,11.464968152866243,9.554140127388536,14.64968152866242,6.0,44.0,81.0,117.0,157.0,0.0,35.5,81.0,121.0,155.0,1.0,37.5,69.0,111.0,156.0
HYDROLASES (ALPHA/BELTA),1ACK  (2ACK),29.7951582867784,36.49906890130354,33.70577281191806,9.328358208955224,10.634328358208956,11.380597014925373,0.0,161.75,281.5,408.25,532.0,2.0,119.5,226.5,384.5,535.0,5.0,145.0,281.0,406.0,536.0
HYDROLASES (ALPHA/BELTA),1EDE,30.32258064516129,37.41935483870968,32.25806451612903,11.326860841423949,9.385113268608414,12.62135922330097,2.0,81.5,155.0,237.0,309.0,3.0,71.5,161.5,218.25,308.0,0.0,83.5,145.5,233.5,305.0
HYDROLASES (ALPHA/BELTA),1THTA,30.491803278688522,35.73770491803279,33.77049180327869,8.881578947368421,11.18421052631579,14.802631578947366,1.0,81.0,167.0,244.0,302.0,6.0,74.0,134.0,224.0,304.0,0.0,81.5,150.0,223.5,303.0
HYDROLASES (ALPHA/BELTA),1TCA,21.13564668769716,50.473186119873816,28.391167192429023,11.075949367088606,5.69620253164557,13.60759493670886,5.0,95.5,180.0,247.0,308.0,1.0,68.75,158.5,239.75,316.0,0.0,78.25,144.5,220.75,314.0
HYDROLASES (ALPHA/BELTA),3TGL,24.1635687732342,44.98141263940521,30.855018587360593,10.44776119402985,7.08955223880597,14.55223880597015,2.0,67.0,128.0,196.0,263.0,0.0,66.0,138.0,205.0,268.0,1.0,75.0,137.0,205.5,267.0
HYDROLASES (ALPHA/BELTA),1TIB,28.624535315985128,42.00743494423792,29.36802973977695,9.328358208955224,10.820895522388058,11.194029850746269,0.0,61.0,121.0,187.0,253.0,2.0,64.0,148.0,206.0,266.0,1.0,74.5,131.0,203.5,268.0
HYDROLASES (ALPHA/BELTA),1CRL,25.0936329588015,44.9438202247191,29.962546816479403,11.632270168855536,6.75422138836773,13.320825515947469,7.0,141.5,272.5,385.25,527.0,0.0,130.75,268.5,399.25,530.0,5.0,135.75,259.0,408.25,533.0
HYDROLASES (ALPHA/BELTA),1TAHA,22.32704402515723,50.314465408805034,27.358490566037734,10.094637223974763,7.255520504731862,12.618296529968454,0.0,65.0,156.0,259.5,315.0,1.0,84.75,162.5,223.25,316.0,9.0,81.5,148.0,251.5,317.0
HYDROLASES (ALPHA/BELTA),1LPBB1,28.994082840236686,41.124260355029584,29.88165680473373,10.385756676557865,11.275964391691394,9.495548961424333,0.0,69.5,161.5,248.5,337.0,4.0,111.0,174.0,268.0,336.0,2.0,86.0,169.0,241.0,335.0
HYDROLASES (ALPHA/BELTA),1WHTA,26.171875,45.703125,28.125,10.980392156862745,8.627450980392156,10.196078431372548,4.0,72.5,134.0,189.5,254.0,0.0,61.0,120.0,189.0,251.0,6.0,69.0,135.5,196.5,255.0
HYDROLASES (ALPHA/BELTA),1WHTB,22.875816993464053,48.36601307189542,28.75816993464052,11.18421052631579,5.263157894736842,16.447368421052634,2.0,28.0,72.0,118.0,152.0,0.0,35.25,76.5,107.75,151.0,4.0,52.75,78.0,118.25,149.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),2DRI,35.05535055350554,36.162361623616235,28.782287822878228,13.333333333333334,10.74074074074074,9.25925925925926,0.0,64.5,139.0,206.0,270.0,2.0,77.75,134.5,201.25,261.0,3.0,60.25,129.5,199.25,268.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),8ABP,33.006535947712415,37.254901960784316,29.73856209150327,13.114754098360656,10.163934426229508,10.819672131147541,0.0,78.0,143.0,224.0,305.0,5.0,79.25,161.5,231.25,304.0,2.0,71.0,144.0,227.0,302.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),1GCA,37.54045307443366,35.59870550161812,26.860841423948216,15.909090909090908,7.467532467532467,11.688311688311687,1.0,67.25,143.5,222.75,308.0,0.0,93.25,158.5,235.25,306.0,4.0,71.0,161.0,231.5,305.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),2LIV,32.848837209302324,41.27906976744186,25.872093023255815,14.577259475218659,7.871720116618077,10.787172011661808,0.0,86.0,167.0,257.0,343.0,5.0,85.75,174.0,258.25,342.0,2.0,87.0,171.0,254.0,333.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),1PDA1,29.357798165137616,31.19266055045872,39.44954128440367,7.4074074074074066,12.037037037037036,14.814814814814813,0.0,22.75,57.5,82.25,108.0,6.0,26.25,47.0,79.5,106.0,2.0,32.5,54.0,82.0,107.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),1SBP,36.12903225806451,37.41935483870968,26.451612903225808,12.944983818770226,9.06148867313916,9.70873786407767,0.0,77.5,157.5,236.0,309.0,8.0,71.5,142.5,234.5,307.0,2.0,82.75,161.5,223.5,306.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),1OLBA  (2OLBA),35.20309477756286,36.7504835589942,28.04642166344294,10.852713178294573,11.821705426356589,9.883720930232558,1.0,139.25,265.0,387.0,515.0,0.0,115.25,243.5,401.0,516.0,2.0,138.0,252.0,381.0,514.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),1OMP,33.513513513513516,38.91891891891892,27.56756756756757,14.363143631436316,8.130081300813007,12.737127371273713,0.0,85.75,181.0,286.25,369.0,4.0,99.5,189.5,269.25,368.0,1.0,91.5,178.5,264.0,367.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),1HSLA,36.554621848739494,36.554621848739494,26.89075630252101,11.39240506329114,10.970464135021098,11.39240506329114,3.0,61.5,122.0,185.5,233.0,0.0,66.5,123.0,175.5,237.0,1.0,53.25,106.5,170.0,234.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),1PBP,31.775700934579437,42.36760124610592,25.85669781931464,11.25,9.375,10.9375,0.0,98.0,175.0,246.75,317.0,1.0,66.25,162.5,230.75,320.0,3.0,81.0,144.0,234.0,319.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),1NNT,32.01219512195122,39.63414634146341,28.353658536585364,12.232415902140673,8.256880733944955,12.844036697247708,3.0,75.0,174.0,250.0,327.0,0.0,84.25,152.5,233.0,325.0,1.0,90.0,165.0,259.0,326.0
BELTA-GRASP (ALPHA+BELTA),1PGA,35.714285714285715,42.857142857142854,21.428571428571427,20.0,5.454545454545454,9.090909090909092,3.0,17.0,30.5,39.5,55.0,1.0,15.75,24.5,43.25,54.0,0.0,5.75,24.0,39.0,53.0
BELTA-GRASP (ALPHA+BELTA),2PTL,39.743589743589745,43.58974358974359,16.666666666666664,18.181818181818183,7.792207792207792,6.493506493506493,0.0,13.0,34.0,55.5,74.0,5.0,26.5,42.5,56.5,77.0,17.0,24.0,39.0,64.0,75.0
BELTA-GRASP (ALPHA+BELTA),1UBI,39.473684210526315,30.263157894736842,30.263157894736842,14.666666666666666,10.666666666666668,10.666666666666668,1.0,24.5,38.5,52.5,73.0,6.0,18.5,37.0,57.0,75.0,0.0,13.0,35.0,57.5,72.0
BELTA-GRASP (ALPHA+BELTA),2PIA3,32.29166666666667,38.54166666666667,29.166666666666668,13.684210526315791,9.473684210526317,8.421052631578947,3.0,26.0,47.0,72.5,94.0,0.0,19.0,44.0,60.0,89.0,12.0,33.5,56.0,80.25,95.0
BELTA-GRASP (ALPHA+BELTA),1FRD,34.69387755102041,34.69387755102041,30.612244897959183,10.309278350515463,10.309278350515463,11.34020618556701,3.0,18.5,43.0,66.75,93.0,0.0,30.0,46.5,80.75,97.0,4.0,28.0,50.5,73.0,96.0
BELTA-GRASP (ALPHA+BELTA),1PUT,29.245283018867923,35.84905660377358,34.90566037735849,7.6190476190476195,13.333333333333334,11.428571428571429,1.0,26.5,63.0,81.0,104.0,0.0,25.25,42.5,61.75,101.0,2.0,31.0,59.0,85.0,105.0
BELTA-GRASP (ALPHA+BELTA),1TSSA2,29.577464788732392,45.07042253521127,25.352112676056336,15.714285714285714,7.142857142857142,12.857142857142856,0.0,16.0,42.0,50.0,66.0,1.0,22.75,35.5,56.25,69.0,2.0,15.5,27.5,45.5,70.0
FERREDOXIN-LIKE (ALPHA+BELTA),1FCA,21.818181818181817,43.63636363636363,34.54545454545455,16.666666666666664,3.7037037037037033,22.22222222222222,4.0,15.5,26.0,35.0,53.0,0.0,14.25,26.5,41.5,54.0,2.0,11.5,30.0,40.5,52.0
FERREDOXIN-LIKE (ALPHA+BELTA),1FXRA,39.0625,29.6875,31.25,9.523809523809524,11.11111111111111,15.873015873015872,1.0,14.0,36.0,47.0,63.0,0.0,20.5,28.0,41.5,59.0,3.0,15.25,28.0,50.75,60.0
FERREDOXIN-LIKE (ALPHA+BELTA),2ATCB1,36.0,32.0,32.0,8.080808080808081,15.151515151515152,10.1010101010101,3.0,26.0,54.5,71.25,95.0,1.0,24.25,49.5,78.5,99.0,0.0,25.5,44.0,66.25,98.0
FERREDOXIN-LIKE (ALPHA+BELTA),1PBA,43.20987654320987,25.925925925925924,30.864197530864196,8.75,18.75,5.0,4.0,19.5,40.0,64.5,80.0,0.0,8.0,31.0,48.0,74.0,6.0,25.0,45.0,63.0,78.0
FERREDOXIN-LIKE (ALPHA+BELTA),1NHKL,32.63888888888889,36.80555555555556,30.555555555555557,14.685314685314685,6.993006993006993,13.286713286713287,2.0,33.5,78.0,110.5,143.0,0.0,43.0,83.0,113.0,141.0,1.0,32.25,64.5,87.25,136.0
FERREDOXIN-LIKE (ALPHA+BELTA),1SXL,37.11340206185567,38.144329896907216,24.742268041237114,14.583333333333334,7.291666666666667,11.458333333333332,4.0,27.75,50.0,68.25,96.0,1.0,18.0,50.0,73.0,95.0,0.0,27.75,44.5,71.75,90.0
FERREDOXIN-LIKE (ALPHA+BELTA),1NRCA  (1OIAA),34.73684210526316,32.631578947368425,32.631578947368425,14.893617021276595,10.638297872340425,12.76595744680851,4.0,21.0,41.0,69.0,91.0,1.0,29.0,54.0,74.0,94.0,0.0,30.5,44.0,64.5,93.0
FERREDOXIN-LIKE (ALPHA+BELTA),2BOPA,30.58823529411765,40.0,29.411764705882355,8.333333333333332,10.714285714285714,11.904761904761903,10.0,21.25,39.5,56.5,83.0,0.0,25.5,44.0,67.5,81.0,1.0,17.0,50.0,67.0,84.0
FERREDOXIN-LIKE (ALPHA+BELTA),3RUB1,27.86885245901639,43.44262295081967,28.688524590163933,11.570247933884298,9.090909090909092,13.223140495867769,6.0,32.0,61.5,86.75,119.0,1.0,25.0,46.0,84.0,120.0,0.0,45.0,78.0,97.5,121.0
FERREDOXIN-LIKE (ALPHA+BELTA),5RUB1,26.446280991735538,44.62809917355372,28.92561983471074,11.666666666666666,7.5,14.166666666666666,1.0,27.5,62.5,95.25,117.0,0.0,32.25,49.0,86.75,118.0,3.0,24.5,67.0,90.0,120.0
FERREDOXIN-LIKE (ALPHA+BELTA),1APS,34.69387755102041,37.755102040816325,27.55102040816326,14.432989690721648,11.34020618556701,10.309278350515463,3.0,27.25,52.5,75.75,96.0,0.0,25.0,48.0,71.0,97.0,5.0,20.5,38.0,65.5,95.0
FERREDOXIN-LIKE (ALPHA+BELTA),1RIS,44.554455445544555,22.772277227722775,32.67326732673268,10.0,17.0,6.0,1.0,23.0,46.0,76.0,99.0,3.0,32.5,50.0,64.5,100.0,0.0,24.0,51.0,78.0,97.0
FERREDOXIN-LIKE (ALPHA+BELTA),1EFG4,33.33333333333333,32.22222222222222,34.44444444444444,14.606741573033707,12.359550561797752,7.865168539325842,4.0,26.5,43.5,73.0,87.0,0.0,23.0,46.0,62.0,81.0,1.0,19.5,44.0,70.5,89.0
"SMALL INHIBITORS TOXINS, LECTINS (ALPHA+BELTA)",4CPAI,25.0,44.44444444444444,30.555555555555557,17.142857142857142,2.857142857142857,17.142857142857142,2.0,7.0,13.0,22.0,29.0,0.0,10.25,17.5,28.5,34.0,4.0,12.0,20.0,24.5,35.0
"SMALL INHIBITORS TOXINS, LECTINS (ALPHA+BELTA)",1OMA,29.166666666666668,35.41666666666667,35.41666666666667,8.51063829787234,14.893617021276595,10.638297872340425,0.0,6.25,18.5,30.25,42.0,5.0,14.0,23.0,36.0,47.0,3.0,18.0,28.0,39.0,46.0
"SMALL INHIBITORS TOXINS, LECTINS (ALPHA+BELTA)",2SN3,30.76923076923077,44.61538461538462,24.615384615384617,17.1875,3.125,15.625,0.0,11.25,23.5,32.25,62.0,2.0,23.0,38.0,53.0,63.0,4.0,15.75,34.0,46.25,64.0
